_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class,clean_text
{'$oid': '5a13282b741a2384e879a62c'},A11TL78PNBS336,0375829695,"L. Vickers ""lcvickers""","[0, 0]","If you have a child who loves Dr. Suess, and loves puzzles- this may be a good match! Just be aware that the peices are small, (48 per page) and that although it suggests an age range of 4-8, it probably is too involved for most 4 year olds to do on their own. But it is a fun book, and I have given several out for birthday presents to the children in my son's preschool.",4.0,Big book of puzzles!,1292198400,"12 13, 2010",Toys_and_Games,1,child love Dr. Suess love puzzles- good match aware peice small 48 page suggest age range 4 8 probably involved 4 year old fun book give birthday present child son preschool
{'$oid': '5a13282b741a2384e879a631'},A2BK2H5ZEB4H2Z,0439028485,Alicia Pearson,"[0, 0]","Bought this form my nephew age 2, He loved clifford.  Found this to be helpful with fine motor skills and he just loves blocks.  They are like a cardboard with covering type material so they can break but for clifford lovers and for stacking blocks this is great.",4.0,Clifford stacking blocks,1324425600,"12 21, 2011",Toys_and_Games,1,buy form nephew age 2 love clifford   find helpful fine motor skill love block   like cardboard cover type material break clifford lover stack block great
{'$oid': '5a13282b741a2384e879a633'},AFKFJKM6J13P3,0439028485,"M. Strickland ""Montana Grandma""","[1, 1]","Very sturdy, has the ABC's, Numbers, and is fun to stack up and knock down.  I bought them form my 16 mo old grandson and his big sister who's 7 loves them too!!",5.0,Lots of fun,1232323200,"01 19, 2009",Toys_and_Games,1,sturdy ABC number fun stack knock   buy form 16 mo old grandson big sister 7 love
{'$oid': '5a13282b741a2384e879a638'},A30U0XP1N4P22Z,0439651859,Page Surfer,"[1, 1]","I love these notes because of the documentation aspect.  I keep one copy, while the parents receive the other.  I have often photocopies my copy to mark it second notice.",5.0,Great for Documentation,1338940800,"06 6, 2012",Toys_and_Games,1,love note documentation aspect   copy parent receive   photocopy copy mark second notice
{'$oid': '5a13282b741a2384e879a637'},A2HPAJUKS7QQZM,0425066169,Benjamin Stiefel,"[0, 0]","I have loved this game since I was really young.  I used to play with my family and I'm glad I can play it now as an adult with new people.  The game mechanics are simple - you go to a location based on the card you draw, acquire wealth and avoid the bad guys (and other players!).  The first player to acquire enough wealth wins... couldn't be simpler, couldn't be more fun!The copy I bought was kindly packaged with extra bags (essential!) and was well cared for.  Someone else clearly recognized its value, and I'm happy to continue to.",5.0,Super fun game from childhood,1349913600,"10 11, 2012",Toys_and_Games,1,love game young   play family glad play adult new people   game mechanic simple location base card draw acquire wealth avoid bad guy player   player acquire wealth win simple fun!The copy buy kindly package extra bag essential care   clearly recognize value happy continue
{'$oid': '5a13282b741a2384e879a639'},A10DW4UGJM196Q,0439512050,Debby Holda,"[0, 0]",This Puppet is wonderful for use in a Classroom or Library when reading any Mike Thaler books to your students. It is also a nice Gift for Children. It is made well.The Glasses are cute!,5.0,A Wonderful Teaching Aid,1197158400,"12 9, 2007",Toys_and_Games,1,puppet wonderful use Classroom Library read Mike Thaler book student nice Gift Children Glasses cute
{'$oid': '5a13282b741a2384e879a63c'},AKSRRH038UEAX,0439710324,"William L. Brown ""Bill""","[0, 0]","The only reason I listed durability as just OK is because I bought it for my Terrier.  She loved it, but few cloth toys can withstand the determination of a Westie :)",4.0,This is a great toy!,1328054400,"02 1, 2012",Toys_and_Games,1,reason list durability ok buy terrier   love cloth toy withstand determination Westie
{'$oid': '5a13282b741a2384e879a640'},A6LDQF16SFXIH,0439855896,,"[0, 0]",I had one of these when I was first starting out in magic. Loved it! It's an easy trick that just about anyone with a brain can do,5.0,Loved it! It's an easy trick that just about ...,1405382400,"07 15, 2014",Toys_and_Games,1,start magic love easy trick brain
{'$oid': '5a13282b741a2384e879a63e'},A1XB3SJ3CAQP5F,0439838649,J. Hughes,"[0, 0]",My daughter has had a hard time learning  and these have really helped so much. She can recognize some of her letters now.  There's even picture magnets,5.0,Love Montessori Learning,1365552000,"04 10, 2013",Toys_and_Games,1,daughter hard time learn   help recognize letter   picture magnet
{'$oid': '5a13282b741a2384e879a642'},A3E469XRTYO1HG,0439855896,Amazing Magic Jack,"[0, 0]",A small appearing wand that is easy to operate and does what it is supposed to do. Most magicians can use this wand sometime in their many performances.,4.0,A fun appearing wand,1357344000,"01 5, 2013",Toys_and_Games,1,small appear wand easy operate suppose magician use wand performance
{'$oid': '5a13282b741a2384e879a63d'},AFWGHF6XGKJ26,0439838649,JuJuBee,"[0, 0]","These letters exceeded our expectations!  They are large, sturdy, and stick VERY well to any surface we have tried!  I love that the consonants are one color and vowels are a different color!  The magnetic pictures are also sturdy and are excellent tools to use.  My five year old can find all the beginning letters to each picture and can use the letters to spell other simple words on his magnetic board. We use this set weekly in our kindergarten home school time and for free play too!",5.0,Exceeded our Expectations!,1387152000,"12 16, 2013",Toys_and_Games,1,letter exceed expectation   large sturdy stick surface try   love consonant color vowel different color   magnetic picture sturdy excellent tool use   year old find begin letter picture use letter spell simple word magnetic board use set weekly kindergarten home school time free play
{'$oid': '5a13282b741a2384e879a643'},A2R6DR8WU5BMUW,0439855896,Amazon Customer,"[2, 2]",very fun magic trick but belive me buy multiple because very un durable made of paper i also do suggest throwing it up because itexploded in my hand and it was ugly real ugly basicly it hit my head cheap,4.0,pretty good buy multiple,1308182400,"06 16, 2011",Toys_and_Games,1,fun magic trick belive buy multiple un durable paper suggest throw itexplode hand ugly real ugly basicly hit head cheap
{'$oid': '5a13282b741a2384e879a64a'},A2D8Y4TOD4VNW4,0439855896,berry_fly,"[0, 0]","Not enough description was given as to how the magic wand worked (Must keep secret)However, after finding out how it worked, i would not have paid the amount i did on this product.It did get a few laughs, but product needs to be well taken cared for, fragile.",4.0,Magical wand,1322179200,"11 25, 2011",Toys_and_Games,1,description give magic wand work secret)however find work pay product laugh product need take care fragile
{'$oid': '5a13282b741a2384e879a64c'},A3A6Y55YAVB4X4,0439855896,Bob Snyder,"[0, 0]",Used it as part of a safety presentation for kindergarten children. Very simple design but end result is realistic to children.,5.0,Very simple but impressive to little children,1389484800,"01 12, 2014",Toys_and_Games,1,safety presentation kindergarten child simple design end result realistic child
{'$oid': '5a13282b741a2384e879a64e'},A26QQ56IOUOUJQ,0439855896,"Calvn Hobbes ""calvnhobbes""","[1, 1]","This is a wonderfully cute trick. Of course these don't last forever, so buy a couple at this price. But I wonder- can you chose a color? Ours was plum purple, not black like the photo. Next time I will specifically request a black wand.",4.0,Cute trick for a good price,1290124800,"11 19, 2010",Toys_and_Games,1,wonderfully cute trick course forever buy couple price wonder- chose color plum purple black like photo time specifically request black wand
{'$oid': '5a13282b741a2384e879a650'},A2NYUQM7MKANW0,0439855896,"Creyu Suda ""Creyu Suda""","[1, 1]","It is a rolled up piece of paper, and yes it is way overpriced for the materials.  It's a &#34;trick&#34; trick wand.Giving this to a four year old cousin.  It's actually a pretty cute and works perfectly.  It also looks like a legit wand when opened, retains it's shape, and could be used for another trick.Hope the review explained it enough to not have to read all the five star reviews...and then all the one star reviews...",5.0,"All the one star reviews are true; the wand itself is the real ""trick""",1393372800,"02 26, 2014",Toys_and_Games,1,roll piece paper yes way overpriced material   34;trick&#34 trick wand give year old cousin   actually pretty cute work perfectly   look like legit wand open retain shape trick hope review explain read star review star review
{'$oid': '5a13282b741a2384e879a64f'},AUJKCCB2HDZ82,0439855896,BurghGuy,"[0, 0]","This product does exactly what it claims it does, however the picture is misleading.  The product works beautifully; simple, somewhat durable (for the price), and a child could operate it with no problems. But there was one surprise.  The effect is deathly simple, you just reach out into the air and ""Viola"" a magic wand appears.  Makes for a great opener.  I recieved this product in the mail, took it out of the box, performed the trick (in front of a few coworkers) and sure enough, as promised, an 18"" magic wand appeared.  An 18"" PURPLE magic wand appeared.  Needless to say the trick was a surprise to the magician also.Now, there are worse things than a purple wand.  It's eye-catching, it's flashy, it's regal.  But if you're expecting a stock black wand, this isn't it.No complaints about the overall product beyond color though.  Performs exactly as promised.",4.0,Fun product with a surprise!,1320451200,"11 5, 2011",Toys_and_Games,1,product exactly claim picture misleading   product work beautifully simple somewhat durable price child operate problem surprise   effect deathly simple reach air Viola magic wand appear   make great opener   recieve product mail take box perform trick coworker sure promise 18 magic wand appear   18 purple magic wand appear   needless trick surprise magician bad thing purple wand   eye catch flashy regal   expect stock black wand complaint overall product color   perform exactly promise
{'$oid': '5a13282b741a2384e879a652'},A50F2OBZSPVSY,0439855896,Dave B.,"[6, 8]","I had lots of fun with this, it took me five minutes to learn. It was fun, when I showed people, they were amazed, some said it gets smaller, so I let them try making it small and they couldn't. I recommend this for kids.",5.0,Love it,1302825600,"04 15, 2011",Toys_and_Games,1,lot fun take minute learn fun show people amazed say get small let try make small recommend kid
{'$oid': '5a13282b741a2384e879a653'},A1ZBVOKXQ46DRH,0439855896,Deanne M Uhteg,"[0, 0]","A lot of people spend A LOT MORE for a cup of coffee.  Granted, this &#34;magic&#34; wand LOST it's magic, after about 10 uses (it doesn't spring/pop into a wand much anymore), but for the money spent, it was worth it.  My 5 year old impressed his family and friends, and felt &#34;magical!&#34;Yes, I would like it to be longer lasting, but you get what you pay for folks.",5.0,"GREAT for about 10 uses, but it was only $2, so not that horrible",1389139200,"01 8, 2014",Toys_and_Games,1,lot people spend lot cup coffee   grant 34;magic&#34 wand lose magic 10 use spring pop wand anymore money spend worth   5 year old impress family friend feel 34;magical!&#34;yes like long last pay folk
{'$oid': '5a13282b741a2384e879a656'},AMSPMQQ7TY419,0439855896,fadi,"[0, 0]",My son needed to practice a lot catching this wand. Will need to get comfortable with how it pops open. It is very light weight and it kind of floats in air.,4.0,Great trick,1377129600,"08 22, 2013",Toys_and_Games,1,son need practice lot catch wand need comfortable pop open light weight kind float air
{'$oid': '5a13282b741a2384e879a655'},A3LC7S1LAOTCFA,0439855896,eric,"[0, 0]",I bought it for my sons talent show. It worked just as advertised. It isn't very sturdy and very quickly wears out as its a coil of thin flat metal I think. Its good for a show or two but no more.,4.0,worked great.,1372032000,"06 24, 2013",Toys_and_Games,1,buy son talent work advertise sturdy quickly wear coil thin flat metal think good
{'$oid': '5a13282b741a2384e879a657'},A1C61V1GJ2MI3O,0439855896,"D Leena ""Leena""","[0, 0]","My almost 5 year old kid loves doing this Magic trick. He cannot roll back the wand and needs my help with that. But other than that, I would recommend this for any young magician.",5.0,My kid loves it,1368576000,"05 15, 2013",Toys_and_Games,1,5 year old kid love magic trick roll wand need help recommend young magician
{'$oid': '5a13282b741a2384e879a658'},A2BG35W36BHC1P,0439855896,"Gary Daniel ""Gary Daniel""","[0, 0]","cheap, fun, and easy to do. Great for a 6 year old. Difficult for beginner to roll up. Bougth two. Would do it again.",4.0,magic wand,1356739200,"12 29, 2012",Toys_and_Games,1,cheap fun easy great 6 year old difficult beginner roll Bougth
{'$oid': '5a13282b741a2384e879a65c'},AF55WNLZO9G97,0439855896,jeff,"[6, 8]",This one is so good.You'r better off ordering twothe price is right.You'll use it that much,5.0,"Excellent, You must get this one.",1281657600,"08 13, 2010",Toys_and_Games,1,good you'r well order twothe price right you'll use
{'$oid': '5a13282b741a2384e879a65a'},A1FHIBN7Y0E9YF,0439855896,Heather H.,"[0, 0]","These little wands are so cool!  My daughter got the biggest grin on her face when she tried it for the first time and loves doing this trick for anyone who comes over.  They are a little difficult to re roll at first, I have to do it for her, but once you get the hang of it it's not so bad.  I got 2 based on other reviews, and they are a little different, one is silver and black like the picture and the other is black and gold with a cool pattern, it's a bit longer than the other as well, but we liked the variety.  It's a good idea to have more than one if you want to do the trick more than once during a &#34;show,&#34; as you can't repeat the trick until you've re-rolled it. I don't see why they shouldn't last a long time as long as you aren't too rough with them.  They are a great price and I think any kid who's into magic needs a few of these.",5.0,Clever!,1390521600,"01 24, 2014",Toys_and_Games,1,"little wand cool   daughter get big grin face try time love trick come   little difficult roll hang bad   get 2 base review little different silver black like picture black gold cool pattern bit long like variety   good idea want trick 34;show,&#34 repeat trick roll long time long rough   great price think kid magic need"
{'$oid': '5a13282b741a2384e879a65f'},A37JSGUOS2FE28,0439855896,John O'Donnell,"[0, 0]","It's good. Not amazingly high quality, but it is so inexpensive ! I would definitely recommend it. Buy it !",4.0,Pretty Good,1376524800,"08 15, 2013",Toys_and_Games,1,good amazingly high quality inexpensive definitely recommend buy
{'$oid': '5a13282b741a2384e879a660'},A21VVPON9BEQ8E,0439855896,Magic man,"[0, 0]","Hey there I saw this and when I checked out I should have gotten this for free but did not. Here is why it should have been free, Spend $10-Trick IS FREE! Must add to cart, I did spend more that $10",5.0,Miss paid,1329523200,"02 18, 2012",Toys_and_Games,1,hey see check get free free spend $ 10 trick free add cart spend $ 10
{'$oid': '5a13282b741a2384e879a65d'},AQAIPDWD8JLND,0439855896,J. Ball,"[9, 10]","My nephews love magic, so I always get something new for us to play with before I visit them.  When I received these magic wands, they seemed so cheap and cheesy that I thought they'd bomb.  But my nephews loved them!  They never seemed to get tired of doing the same trick, and since they are Harry Potter fans, they taught me a lot of words for various kinds of spells.At any rate, the magically appearing wands were extremely inexpensive and provided fun for the boys.  The wands' low quality materials are in line with the low price. They're definitely not for serious adult magicians, but I was quite pleased with the fun they provided for only a couple of dollars.",5.0,Nephews loved it,1306368000,"05 26, 2011",Toys_and_Games,1,nephew love magic new play visit   receive magic wand cheap cheesy think bomb   nephew love   tired trick Harry Potter fan teach lot word kind spell rate magically appear wand extremely inexpensive provide fun boy   wand low quality material line low price definitely adult magician pleased fun provide couple dollar
{'$oid': '5a13282b741a2384e879a662'},AXNPM6DT6S9ZX,0439855896,Michael Vaughan,"[2, 3]",Bought this for my Nephew.  He seems to really enjoy it.  No complaints and it was received ontime.,5.0,Magic Wand,1284422400,"09 14, 2010",Toys_and_Games,1,buy Nephew   enjoy   complaint receive ontime
{'$oid': '5a13282b741a2384e879a664'},A26I5R02K4BDFO,0439855896,M. Pierce,"[0, 0]","Ok- so this wand has gotten several bad reviews but I have to say, WE LOVE IT!!! I bought this for my 6 year old son who wants to do a school talent show. The thrill he got when he threw it in the air and it popped open was awesome! It is indeed made of some sort of paper (kind of like a really thick mylar material), but I have to say after rolling it up and tossing it in the air 30 or more times in one night, it still looks great! Also, while it is paper, I do not think it looks like paper at all when being used. You would really have to hold it to know that it wasn't metal or plastic.I give this product 4 stars because I do believe the product description should state what kind of material it is made of. If you just go by the picture it looks to be plastic. So, I can understand the frustration of others if a more solid wand is what they were looking for. Also, it is not that easy to roll at first but once you break it in a bit, it gets much easier. Even my son was able to roll it after some practice.All in all, if used properly, I don't see why this wouldn't last a good long while. It is surprisingly fun and easy to use. I personally think I got a lot of bang for my buck. If you are a serious magician, this is probably not for you. But for a child who is looking for fun, it is, well, magic!!!",4.0,Fabulous wand for a child!!!,1389830400,"01 16, 2014",Toys_and_Games,1,ok- wand get bad review love buy 6 year old son want school talent thrill get throw air pop open awesome sort paper kind like thick mylar material roll toss air 30 time night look great paper think look like paper hold know metal plastic product 4 star believe product description state kind material picture look plastic understand frustration solid wand look easy roll break bit get easy son able roll practice properly good long surprisingly fun easy use personally think get lot bang buck magician probably child look fun magic
{'$oid': '5a13282b741a2384e879a666'},AGJ5VZ9QDM7JK,0439855896,Nils Lorch,"[0, 0]",5 Dollars  the material is 50 cent or less but the idea is great ant the money worththe magic wand will just appear out of the nowhere instandly.your child will be very surpriced when doing this.,4.0,stick is very nice,1397174400,"04 11, 2014",Toys_and_Games,1,5 dollar   material 50 cent idea great ant money worththe magic wand appear instandly.your child surpriced
{'$oid': '5a13282b741a2384e879a66b'},A1OPRCW4VM7N5I,0439855896,p.j 'n the kanes,"[0, 0]",Im Really Intrested It Sounds Really Cool And Stuff But Im Scared It Might Only Have A Few Uses Can Someone Tell Me How much Uses It Has?,5.0,Im Intrested,1385078400,"11 22, 2013",Toys_and_Games,1,m intrested sound cool stuff m scared use tell use
{'$oid': '5a13282b741a2384e879a66c'},ACS2FZVMITA1M,0439855896,"Stuart A. Mackellar ""XIII""","[2, 4]","Fun to pop this magic wand out when things get down to the wire at work.seems sometimes the bosses expect miracles, much fun to pop the wand out and say ""what, do you expect me to pull a rabit out of a hat?"".",4.0,Fun and laughs at work...,1272844800,"05 3, 2010",Toys_and_Games,1,Fun pop magic wand thing wire work.seems boss expect miracle fun pop wand expect pull rabit hat
{'$oid': '5a13282b741a2384e879a66e'},A14VQHANYFA2UY,0439855896,W.Jacobs,"[0, 0]",The wand is great and a very funny good magic trick.  The wand is just rolled up plastic but a good quality great buy,4.0,Good wand,1361232000,"02 19, 2013",Toys_and_Games,1,wand great funny good magic trick   wand roll plastic good quality great buy
{'$oid': '5a13282b741a2384e879a671'},A2MAG7BIDRQTF8,0439855896,zach's nana,"[2, 3]",I bought 2 of these wands for my 3 year old and 7 year old grandchildren. Both loved them because they flung them out from one inch to full length in an instant. A big hit for a small price.,5.0,Instand Magic Wand,1297555200,"02 13, 2011",Toys_and_Games,1,buy 2 wand 3 year old 7 year old grandchild love fling inch length instant big hit small price
{'$oid': '5a13282b741a2384e879a672'},A1NDCQ5AJZJY0O,0439893577,A. J. Newton,"[1, 1]",Purchased this for my 2 great-grandsons to use with their Melissa & Doug wooden magnetic numbers and letters.  Just right for table top and easy to fold and store.,4.0,Good for the price,1388534400,"01 1, 2014",Toys_and_Games,1,purchase 2 great grandson use Melissa Doug wooden magnetic number letter   right table easy fold store
{'$oid': '5a13282b741a2384e879a670'},A39WLVQG9EA4BI,0439855896,Ye Olde,"[11, 12]","Don't be decieved by its low price.  This is one magic trick that, while brief, is stunning and incredibly funny.  You can toss it in the air and it will appear midair!  To better the illusion of spontaneous appearance, toss it up with some confetti, for a delightful effect!  I tried this as a parial test of my new routine and it was enough to make a room full of jaded adults burst into applause and laughter!  It is made of a thin material, however, but it is durable enough for plenty of use. Just don't use it to whack anybody.  At this price, buy three...you won't regret it!",5.0,A showstopper...or show starter!,1285718400,"09 29, 2010",Toys_and_Games,1,decieve low price   magic trick brief stunning incredibly funny   toss air appear midair   better illusion spontaneous appearance toss confetti delightful effect   try parial test new routine room jaded adult burst applause laughter   thin material durable plenty use use whack anybody   price buy will regret
{'$oid': '5a13282b741a2384e879a673'},A36FHTVY9A6M8P,0439893577,"757eileen ""eivb47""","[1, 1]","I used it with my  granddaughter. It is useful, but can get bent very easily.  That's why I only gave it 4 stars.",4.0,Magnetic Tabletop Learning Easel,1385337600,"11 25, 2013",Toys_and_Games,1,  granddaughter useful bent easily   give 4 star
{'$oid': '5a13282b741a2384e879a674'},A1XH32CSZUKUAF,0439893577,"Amazon Customer ""Reader RN""","[1, 1]","Bought this for my granddaughter because stainless appliances do not support magnetic play. She loves it [age 2] and it can go in the car, plane, or on a table or floor. Good 'old-fashioned' non - tech non-electronic toy choice",4.0,good for travel & home,1391731200,"02 7, 2014",Toys_and_Games,1,buy granddaughter stainless appliance support magnetic play love age 2 car plane table floor good old fashioned non tech non electronic toy choice
{'$oid': '5a13282b741a2384e879a676'},AG74YNIIZMHY0,0439893577,Amy Smith,"[1, 1]","I bought this easel for my 20 month old niece for Christmas because I made her some photo magnets and their frig is not magnetic. The price for this easel is great. Without seeing a real picture, I was worried that it might be flimsy; however, it is quite sturdy and doesn't look like it will wear out easily. It folds flat, less than 1 inch thick when flat. One flap on the bottom is around 1 foot long and the other is about 2 inches. The flaps have velcro on them to make them stick together when the easel is up. The easel stands sturdily on the floor or table.  Both sides are both dry-erase and magnetic. It was exactly what I needed and my niece loved it!I would recommend this!",5.0,Good compact easel,1296086400,"01 27, 2011",Toys_and_Games,1,buy easel 20 month old niece Christmas photo magnet frig magnetic price easel great see real picture worried flimsy sturdy look like wear easily fold flat 1 inch thick flat flap 1 foot long 2 inch flap velcro stick easel easel stand sturdily floor table   side dry erase magnetic exactly need niece love it!I recommend
{'$oid': '5a13282b741a2384e879a677'},A30FVGQNTTZDAY,0439893577,Angelyn Zapata,"[0, 0]","This easel is perfect for playing with magnets. It is durable, however, some of the velcrow has come off. I'm very pleased with the product & would buy again.",5.0,Great product,1381536000,"10 12, 2013",Toys_and_Games,1,easel perfect play magnet durable velcrow come pleased product buy
{'$oid': '5a13282b741a2384e879a678'},A1VXOAVRGKGEAK,0439893577,Angie,"[0, 0]",I like the item pricing. My granddaughter wanted to mark on it but I wanted it just for the letters.,5.0,Magnetic board,1390953600,"01 29, 2014",Toys_and_Games,1,like item pricing granddaughter want mark want letter
{'$oid': '5a13282b741a2384e879a679'},A3NB50PHKE64QA,0439893577,Angela campbell,"[0, 0]",My grand daughter wanted a magnetic board so I ordered this and we couldn't be happier. Being 2 sided it works well for her brother to also play with the magnets.,5.0,Great Product,1394150400,"03 7, 2014",Toys_and_Games,1,grand daughter want magnetic board order happy 2 side work brother play magnet
{'$oid': '5a13282b741a2384e879a67a'},A2QDG1AKQ64OWG,0439893577,Angie in Cali,"[0, 0]","My kids love these... they use magnets on them, they draw on them with dry-erase markers (only one side is dry-erase friendly, beware). I own 3 of them and they are wonderful play and education tools. I will purchase another when my youngest is ready for one.",5.0,Useful in so many ways!,1379894400,"09 23, 2013",Toys_and_Games,1,kid love use magnet draw dry erase marker dry erase friendly beware 3 wonderful play education tool purchase young ready
{'$oid': '5a13282b741a2384e879a67b'},A84O9HIHZWBSK,0439893577,Antonia La Forgia,"[0, 0]","The easel can go any where in the house or car.  We use it to teach our 3 year old granddaughter and she loves it.  Great tool to use with magnetic shapes, letters, numbers and pictures.  All of which we purchased on Amazon.",5.0,Great tool to help children learn.,1392336000,"02 14, 2014",Toys_and_Games,1,easel house car   use teach 3 year old granddaughter love   great tool use magnetic shape letter number picture   purchase Amazon
{'$oid': '5a13282b741a2384e879a67f'},A8R62G708TSCM,0439893577,Candace,"[1, 1]",Love the magnet easel... great for moving to different areas... Wish it had some sort of non skid pad on bottom though...,4.0,it works pretty good for moving to different areas,1395964800,"03 28, 2014",Toys_and_Games,1,love magnet easel great move different area wish sort non skid pad
{'$oid': '5a13282b741a2384e879a67d'},A3996T1ENBWSD5,0439893577,Ashley Mullins,"[0, 1]",This is great for students to use at a center because it is magnetic. They can use this to create words! I am also able to use this when working with groups.,5.0,Great for centers!,1372723200,"07 2, 2013",Toys_and_Games,1,great student use center magnetic use create word able use work group
{'$oid': '5a13282b741a2384e879a680'},A2TDEVLH6G73JK,0439893577,"Cassie Collura ""myairmanrocks""","[2, 2]",I bought this daughter after seeing her interest in magnets at 10months old. She is now 19months and still loves it. My friends 2yr old also enjoys putting the magnet animals on and off this board while reciting their names/sounds!,5.0,Educational and Fun for all ages.,1325203200,"12 30, 2011",Toys_and_Games,1,buy daughter see interest magnet 10months old 19month love friend 2yr old enjoy put magnet animal board recite name sound
{'$oid': '5a13282b741a2384e879a682'},A21KH420DK0ICA,0439893577,capemaychristy,"[1, 1]","Both sides are magnetic.  A real plus when you're entertaining more than one child.  The four-year old can find the letters for the words, while the two-year old can find the pictures the words spell.  (I bought letters and magnetic pictures to go with this board).  Both grandkids liked it a lot, which means I like it a lot as well.  Have not even introduced markers, as this will be used strictly as a magnetic board.",5.0,love this!,1359331200,"01 28, 2013",Toys_and_Games,1,side magnetic   real plus entertain child   year old find letter word year old find picture word spell   buy letter magnetic picture board   grandkid like lot mean like lot   introduce marker strictly magnetic board
{'$oid': '5a13282b741a2384e879a684'},A3CPT3LD6188YL,0439893577,CPickens,"[1, 1]","These are a classroom favorite.  Being magnetic and being able to use dry erase markers has made them very versatile.  This has been such a popular item with my students - one that they choose when they have free time - that I've had to use clear packing tape to secure the top of both.  They've lasted a long time, and they are a vital part of what we do.",5.0,I've used these in the classroom,1373068800,"07 6, 2013",Toys_and_Games,1,classroom favorite   magnetic able use dry erase marker versatile   popular item student choose free time use clear packing tape secure   last long time vital
